copy_id,driver1_coef,driver2_coef,driver3_coef,driver4_coef,driver5_coef,driver6_coef,driver7_coef,driver8_coef,driver9_coef,driver10_coef,driver11_coef,driver12_coef,driver13_coef,driver14_coef,driver15_coef,driver16_coef,driver17_coef,driver18_coef,driver19_coef,driver20_coef,driver21_coef,driver22_coef,driver23_coef,driver24_coef,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_0,12.730064708179247,15.487415685050484,5.949614274396139,10.027317500522148,18.84720290281437,13.993088651146431,14.583306589348194,11.730605777899466,6.919267466526158,18.84720290281437,8.795379550385844,8.990510738773082,18.84720290281437,6.863627615159878,10.548045463965767,4.092726599204289,11.77524563433362,18.84720290281437,18.84720290281437,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,13,17,3,14,25,9,18,12,4,25,15,16,25,11,6,1,19,25,25,7,2,8,5,10
1000_2,18.84720290281437,8.374030007845443,13.993088651146431,11.77524563433362,10.027317500522148,10.548045463965767,6.863627615159878,6.919267466526158,18.84720290281437,12.730064708179247,11.730605777899466,18.84720290281437,8.795379550385844,8.990510738773082,10.579726257276144,15.487415685050484,13.030428965422828,4.443479686368393,18.84720290281437,18.84720290281437,4.092726599204289,7.391607172517768,5.949614274396139,14.583306589348194,25,8,9,19,14,6,11,4,25,13,12,25,15,16,10,17,7,5,25,25,1,2,3,18
1001_1,18.96642755702043,4.092726599204289,18.96642755702043,7.391607172517768,10.548045463965767,15.487415685050484,11.730605777899466,10.027317500522148,4.443479686368393,8.795379550385844,8.374030007845443,8.990510738773082,18.96642755702043,6.919267466526158,5.949614274396139,13.030428965422828,18.96642755702043,18.96642755702043,18.96642755702043,12.730064708179247,18.96642755702043,11.77524563433362,13.993088651146431,14.583306589348194,25,2,25,15,8,10,6,4,5,3,14,12,25,17,1,7,25,25,25,16,25,11,13,9
1002_0,12.730064708179247,15.487415685050484,5.949614274396139,10.027317500522148,18.759684923332575,6.655736056444178,14.583306589348194,11.730605777899466,6.919267466526158,18.759684923332575,8.795379550385844,8.990510738773082,18.759684923332575,6.863627615159878,10.548045463965767,4.092726599204289,11.77524563433362,18.759684923332575,18.759684923332575,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,15,9,18,7,25,14,19,5,1,25,13,17,25,10,11,2,8,25,25,12,4,6,3,16
1002_1,18.759684923332575,4.092726599204289,18.759684923332575,8.795379550385844,10.027317500522148,10.548045463965767,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,6.655736056444178,6.863627615159878,6.919267466526158,8.990510738773082,18.759684923332575,18.759684923332575,15.487415685050484,4.443479686368393,18.759684923332575,12.730064708179247,11.77524563433362,7.391607172517768,25,2,25,13,7,11,18,6,12,5,19,16,14,10,1,17,25,25,9,3,25,15,8,4
1002_2,18.759684923332575,8.374030007845443,6.655736056444178,11.77524563433362,10.027317500522148,10.548045463965767,6.863627615159878,6.919267466526158,18.759684923332575,12.730064708179247,11.730605777899466,18.759684923332575,8.795379550385844,8.990510738773082,10.579726257276144,15.487415685050484,13.030428965422828,4.443479686368393,18.759684923332575,18.759684923332575,4.092726599204289,7.391607172517768,5.949614274396139,14.583306589348194,25,6,14,8,7,11,10,1,25,15,5,25,13,17,16,9,12,3,25,25,2,4,18,19
1003_0,12.730064708179247,15.487415685050484,5.949614274396139,11.77524563433362,18.92302116809205,6.655736056444178,14.583306589348194,11.730605777899466,6.919267466526158,18.92302116809205,8.795379550385844,8.990510738773082,18.92302116809205,6.863627615159878,13.993088651146431,4.092726599204289,10.548045463965767,18.92302116809205,18.92302116809205,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,18,17,2,19,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11
1003_1,18.92302116809205,4.092726599204289,18.92302116809205,8.795379550385844,11.77524563433362,13.993088651146431,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,6.655736056444178,6.863627615159878,6.919267466526158,8.990510738773082,18.92302116809205,18.92302116809205,15.487415685050484,4.443479686368393,18.92302116809205,12.730064708179247,10.548045463965767,7.391607172517768,25,1,25,7,19,16,2,10,15,8,14,11,13,9,5,6,25,25,17,3,25,18,12,4
1003_2,18.92302116809205,8.374030007845443,6.655736056444178,10.548045463965767,11.77524563433362,13.993088651146431,6.863627615159878,6.919267466526158,18.92302116809205,12.730064708179247,11.730605777899466,18.92302116809205,8.795379550385844,8.990510738773082,10.579726257276144,15.487415685050484,13.030428965422828,4.443479686368393,18.92302116809205,18.92302116809205,4.092726599204289,7.391607172517768,5.949614274396139,14.583306589348194,25,10,13,12,19,16,9,5,25,18,8,25,7,6,11,17,15,3,25,25,1,4,2,14
1004_0,12.730064708179247,6.655736056444178,5.949614274396139,10.027317500522148,18.832579800594246,13.993088651146431,14.583306589348194,11.730605777899466,6.919267466526158,15.487415685050484,8.795379550385844,8.990510738773082,18.832579800594246,6.863627615159878,10.548045463965767,4.092726599204289,11.77524563433362,18.832579800594246,18.832579800594246,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,17,6,3,7,25,19,10,9,4,15,8,18,25,16,20,2,14,25,25,5,1,11,13,12
