copy_id,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_0,86049,0,83470,86472,0,86342,85161,84581,83663,0,86040,84078,0,86067,85193,83264,83990,0,0,85077,83855,86084,85218,85362
1000_1,0,83264,0,86040,86472,85193,83470,86084,85077,84581,85161,85362,86342,86067,83663,84078,0,0,0,85218,0,86049,83990,83855
1000_2,0,86084,86342,83990,86472,85193,86067,83663,0,86049,84581,0,86040,84078,85362,0,85077,85218,0,0,83264,83855,83470,85161
1001_1,0,109179,0,111421,112798,0,111534,111976,113191,110547,112639,111548,0,108749,111152,111923,0,0,0,111054,0,111866,112031,108932
1002_1,0,84918,0,85767,86310,88021,86249,87347,87234,87166,85040,85635,86261,84686,85463,85176,0,0,0,86272,0,86076,87492,87163
1002_2,0,87347,86261,87492,86310,88021,84686,85463,0,86076,87166,0,85767,85176,85635,0,87234,86272,0,0,84918,87163,86249,85040
1003_0,109710,110146,107627,110058,0,109383,110085,109010,107479,0,108145,107826,0,108997,109616,107557,109143,0,0,109966,107814,108878,107706,109159
1003_1,0,107557,0,108145,110058,109616,107627,108878,109966,109010,110085,109159,109383,108997,107479,107826,0,0,110146,107706,0,109710,109143,107814
1004_0,105271,0,100349,104816,0,111949,104273,102215,100243,0,101509,100773,0,102555,105660,100349,102409,0,0,119929,100085,103064,100010,101645
1004_1,0,100349,0,101509,104816,105660,100349,103064,119929,102215,104273,101645,111949,102555,100243,100773,0,0,0,100010,0,105271,102409,100085
1004_2,0,103064,111949,102409,104816,105660,102555,100243,0,105271,102215,0,101509,100773,101645,0,119929,100010,0,0,100349,100085,100349,104273
1005_1,0,94518,0,96853,98670,97982,97984,99661,98635,96797,95127,98532,98865,98200,95475,96810,0,0,99145,97583,0,97246,97002,94906
1006_0,115332,0,113405,115322,0,0,114107,116989,112295,0,117326,116427,0,100823,113485,100620,125536,0,0,114819,106584,135128,116148,104039
1006_1,0,100620,0,117326,115322,113485,113405,135128,114819,116989,114107,104039,0,100823,112295,116427,0,0,0,116148,0,115332,125536,106584
1006_2,0,135128,0,125536,115322,113485,100823,112295,0,115332,116989,0,117326,116427,104039,0,114819,116148,0,0,100620,106584,113405,114107
1007_0,83641,85317,85161,90579,0,85654,81634,84722,82024,0,82510,83308,0,83775,83851,83130,83010,0,0,85817,84403,85109,84052,85542
1007_1,0,83130,0,82510,90579,83851,85161,85109,85817,84722,81634,85542,85654,83775,82024,83308,0,0,85317,84052,0,83641,83010,84403
1007_2,0,85109,85654,83010,90579,83851,83775,82024,0,83641,84722,0,82510,83308,85542,85317,85817,84052,0,0,83130,84403,85161,81634
1008_0,76419,74615,75008,76377,0,77362,76659,75164,74773,76840,75590,74718,0,76760,75628,74378,76483,0,0,75022,75805,75970,74288,76395
1008_1,0,74378,0,75590,76377,75628,75008,75970,75022,75164,76659,76395,77362,76760,74773,74718,0,76840,74615,74288,0,76419,76483,75805
1009_1,0,105144,0,104981,107060,106556,107875,106374,104045,106885,107018,104593,108120,107209,105055,108250,0,0,0,107693,0,107667,108159,106898
1009_2,0,106374,108120,108159,107060,106556,107209,105055,0,107667,106885,0,104981,108250,104593,0,104045,107693,0,0,105144,106898,107875,107018
100_0,80956,84350,80990,81459,0,84577,101117,80856,79554,101848,81179,80871,0,81073,82320,82443,87049,0,0,81084,79488,80969,79241,85257
1010_0,91198,90989,89394,91449,0,92412,91226,90636,96562,0,90945,90229,0,91048,90787,89341,89905,0,0,90846,89028,90976,89452,90454
1010_2,0,90976,92412,89905,91449,90787,91048,96562,0,91198,90636,0,90945,90229,90454,90989,90846,89452,0,0,89341,89028,89394,91226
1011_0,98382,100560,97831,98232,0,101271,98177,98965,100205,118220,96666,98025,0,117408,97271,98351,119647,0,0,101536,97680,97275,97650,97309
1011_1,0,98351,0,96666,98232,97271,97831,97275,101536,98965,98177,97309,101271,117408,100205,98025,0,118220,100560,97650,0,98382,119647,97680
1012_0,100933,101439,98906,100096,0,100589,100187,99292,102599,100676,100153,100259,0,99939,98981,98594,99720,0,0,119108,98300,100269,99176,101287
1012_1,0,98594,0,100153,100096,98981,98906,100269,119108,99292,100187,101287,100589,99939,102599,100259,0,100676,101439,99176,0,100933,99720,98300
1012_2,0,100269,100589,99720,100096,98981,99939,102599,0,100933,99292,0,100153,100259,101287,101439,119108,99176,0,100676,98594,98300,98906,100187
1013_0,120694,111347,109490,108542,0,125760,108697,109965,112135,114507,116409,120178,0,109199,108203,108772,111634,0,0,108957,109249,111580,110120,109595
